-- Logs begin at Thu 2016-10-27 16:09:44 UTC, end at Thu 2016-10-27 16:25:19 UTC. --
Oct 27 16:21:11 managesf systemd[1]: Started Zuul Server Service.
Oct 27 16:21:11 managesf systemd[1]: Starting Zuul Server Service...
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,730 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,731 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,731 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,731 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,731 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,732 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,732 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>: <gear.Packet 0x1ec7510 type: PRE_SLEEP>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,732 DEBUG gear.ServerConnection: Setting state to: SLEEP
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,732 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,732 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,733 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,056 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,056 INFO gear.Server: Received admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,056 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,057 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update:master        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,057 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,057 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests:master        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,095 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: stop:managesf.sftests.com        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,096 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: set_description:managesf.sftests.com        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,096 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:merge        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,097 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests:master        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,097 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check:master        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,097 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:update        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,098 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,098 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check        0        0        1
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,099 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: .
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,099 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,099 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,100 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:13 managesf zuul-server[21124]: 2016-10-27 16:21:13,100 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,100 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,101 INFO gear.Server: Received admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,101 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,101 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update:master        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,102 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,102 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests:master        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,102 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: stop:managesf.sftests.com        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,102 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: set_description:managesf.sftests.com        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,102 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:merge        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,102 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests:master        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,103 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check:master        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,103 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:update        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,103 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,103 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check        0        0        1
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,103 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: .
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,104 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,104 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,104 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:14 managesf zuul-server[21124]: 2016-10-27 16:21:14,104 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,109 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,111 INFO gear.Server: Received admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,111 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,111 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update:master        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,111 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,112 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests:master        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,112 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: stop:managesf.sftests.com        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,112 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: set_description:managesf.sftests.com        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,112 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:merge        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,112 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests:master        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,112 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check:master        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,112 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:update        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,112 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,113 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check        0        0        1
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,113 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: .
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,113 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,113 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,113 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:15 managesf zuul-server[21124]: 2016-10-27 16:21:15,113 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,118 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,121 INFO gear.Server: Received admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,121 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,121 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update:master        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,122 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,122 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests:master        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,122 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: stop:managesf.sftests.com        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,122 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: set_description:managesf.sftests.com        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,122 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:merge        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,122 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests:master        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,123 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check:master        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,123 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:update        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,123 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,123 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check        0        0        1
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,123 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: .
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,123 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,124 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,124 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:16 managesf zuul-server[21124]: 2016-10-27 16:21:16,124 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,127 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,127 INFO gear.Server: Received admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,127 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,128 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update:master        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,128 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,128 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests:master        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,128 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: stop:managesf.sftests.com        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,129 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: set_description:managesf.sftests.com        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,129 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:merge        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,129 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests:master        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,129 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check:master        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,129 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:update        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,130 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,130 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check        0        0        1
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,130 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: .
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,130 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,131 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,131 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:17 managesf zuul-server[21124]: 2016-10-27 16:21:17,131 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,135 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,136 INFO gear.Server: Received admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,136 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,136 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update:master        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,136 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,137 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-unit-tests:master        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,137 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: stop:managesf.sftests.com        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,137 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: set_description:managesf.sftests.com        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,137 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:merge        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,137 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:zuul-demo-functional-tests:master        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,138 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check:master        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,138 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: merger:update        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,138 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-update        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,138 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: build:config-check        0        0        1
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,138 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: .
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,139 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x1ec7510 command: status>
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,139 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,139 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,139 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,146 DEBUG gear.Server: Accepting new connection
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,146 DEBUG gear.ServerConnection: Setting state to: INIT
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,146 INFO gear.Server: Accepted connection <gear.ServerConnection 0x1ec7510 name: None host: 192.168.122.10 port: 58226>
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,146 DEBUG gear.Server: Registering <gear.ServerConnection 0x1ec7510 name: None host: 192.168.122.10 port: 58226>
Oct 27 16:21:18 managesf zuul-server[21124]: 2016-10-27 16:21:18,147 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7510 name: None host: 192.168.122.10 port: 58226>
